Band,Date,Venue
Bishop Allen,9/27/2014,Pygmalion Music Festival 2014
Chvrches,9/27/2014,Pygmalion Music Festival 2014
Modern Kin,9/27/2014,Pygmalion Music Festival 2014
Nick Thune,9/27/2014,Pygmalion Music Festival 2014
Twin Peaks,9/27/2014,Pygmalion Music Festival 2014
Tycho,9/27/2014,Pygmalion Music Festival 2014
Wicked Walls,9/27/2014,Pygmalion Music Festival 2014
Delta Spirit,10/11/2014,Vic Theater
Peter Matthew Bauer,10/11/2014,Vic Theater
Dub Thompson,10/17/2014,Lincoln Hall
Foxygen,10/17/2014,Lincoln Hall
The Blisters,10/17/2014,Lincoln Hall
Beats Antique,10/18/2014,Riviera Theater
Emancipator,10/18/2014,Riviera Theater
Lafa Taylor,10/18/2014,Riviera Theater
Shpongle,10/18/2014,Riviera Theater
Courtney Barnett,10/27/2014,Metro
Mikhael Paskalev,10/27/2014,Metro
San Fermin,10/27/2014,Metro
The New Pornographers,11/14/2014,Riviera Theater
The Pains of Being Pure at Heart,11/14/2014,Riviera Theater
First Aid Kit,11/22/2014,Vic Theater
Samantha Crain,11/22/2014,Vic Theater
Angel Olsen,11/29/2014,Thalia Hall
Lionlimb,11/29/2014,Thalia Hall
State Champion,11/29/2014,Thalia Hall
Jim Campilongo,12/12/2014,Riviera Theater
Wilco,12/12/2014,Riviera Theater
Dam Gila,12/23/2014,Lincoln Hall
Paul Cherry,12/23/2014,Lincoln Hall
Smith Westerns,12/23/2014,Lincoln Hall
Alvvays,1/17/2015,Schubas
Carbon Tigers,1/17/2015,Schubas
Santah,1/17/2015,Schubas
Sun Club,1/17/2015,Schubas
John Mark Nelson,2/6/2015,Schubas
Liza Anne,2/6/2015,Schubas
Broncho,2/28/2015,Lincoln Hall
The Growlers,2/28/2015,Lincoln Hall
Plateau Below,3/7/2015,Coles
Belle and Sebastian,4/3/2015,Riviera Theater
Honeyblood,4/3/2015,Riviera Theater
Caribou,4/11/2015,Metro
Egyptrixx,4/11/2015,Metro
Antony and the Tramps,4/17/2015,Lincoln Hall
Brother George,4/17/2015,Lincoln Hall
Maren Celest,4/17/2015,Lincoln Hall
Midnite on Pearl Beach,4/17/2015,Lincoln Hall
Waxahatchee,5/8/2015,Beat Kitchen
Mini Mansions,5/15/2015,Riviera Theater
Tame Impala,5/15/2015,Riviera Theater
J Fernandez,6/6/2015,Lincoln Hall
Unknown Mortal Orchestra,6/6/2015,Lincoln Hall
Bright Light Social Hour,6/19/2015,Taste of Randolph
Lettuce,6/19/2015,Taste of Randolph
Floating Action,6/20/2015,Riverside Theater
My Morning Jacket,6/20/2015,Riverside Theater
Iceage,7/17/2015,Pitchfork Music Festival 2015 D1
Mac Demarco,7/17/2015,Pitchfork Music Festival 2015 D1
Tobias Jesso Jr.,7/17/2015,Pitchfork Music Festival 2015 D1
Wilco,7/17/2015,Pitchfork Music Festival 2015 D1
Future Islands,7/18/2015,Pitchfork Music Festival 2015 D2
Mr. Twin Sister,7/18/2015,Pitchfork Music Festival 2015 D2
Parquet Courts,7/18/2015,Pitchfork Music Festival 2015 D2
The New Pornographers,7/18/2015,Pitchfork Music Festival 2015 D2
AG Cook,7/19/2015,Pitchfork Music Festvial 2015 D3
Bitchin Bajas,7/19/2015,Pitchfork Music Festvial 2015 D3
Caribou,7/19/2015,Pitchfork Music Festvial 2015 D3
Chance the Rapper,7/19/2015,Pitchfork Music Festvial 2015 D3
Courtney Barnett,7/19/2015,Pitchfork Music Festvial 2015 D3
Todd Terje and the Olsens,7/19/2015,Pitchfork Music Festvial 2015 D3
Waxahatchee,7/19/2015,Pitchfork Music Festvial 2015 D3
Delicate Steve,7/26/2015,Wicker Park Festival
Oshwa,7/26/2015,Wicker Park Festival
This Will Destroy You,7/26/2015,Wicker Park Festival
Father John Misty,7/31/2015,Lollapalooza 2015 D1
